Symbol,Company Name,Market Cap,Stock Price,Percent Change,Revenue
HE,"Hawaiian Electric Industries, Inc.",1.58B,9.14,0.88%,3.69B
DNOW,DNOW Inc.,1.57B,14.88,-3.00%,2.36B
HMN,Horace Mann Educators Corporation,1.57B,38.63,-0.82%,1.59B
GO,Grocery Outlet Holding Corp.,1.57B,16.19,0.31%,4.26B
MCRI,"Monarch Casino & Resort, Inc.",1.57B,85.34,-0.63%,515.86M
INFN,Infinera Corporation,1.57B,6.62,-0.30%,1.46B
CDRE,"Cadre Holdings, Inc.",1.57B,38.55,-1.75%,516.16M
LUCK,Lucky Strike Entertainment Corporation,1.56B,10.65,0.85%,1.19B
SILV,SilverCrest Metals Inc.,1.56B,10.50,-4.02%,278.08M
LTC,"LTC Properties, Inc.",1.56B,34.40,0.50%,198.71M
AMPL,"Amplitude, Inc.",1.56B,12.18,2.35%,292.54M
HDL,Super Hi International Holding Ltd.,1.55B,23.53,-3.49%,759.89M
LZ,"LegalZoom.com, Inc.",1.55B,8.99,-1.86%,678.84M
ARQT,"Arcutis Biotherapeutics, Inc.",1.55B,13.24,-3.15%,138.71M
CLBK,"Columbia Financial, Inc.",1.55B,14.79,-0.80%,165.43M
DNUT,"Krispy Kreme, Inc.",1.54B,9.07,-0.55%,1.71B
CTS,CTS Corporation,1.54B,51.09,-0.27%,513.03M
SRCE,1st Source Corporation,1.54B,62.72,-0.24%,374.66M
BHE,"Benchmark Electronics, Inc.",1.54B,42.66,0.35%,2.66B
VRDN,"Viridian Therapeutics, Inc.",1.54B,19.38,-3.49%,302.00K
ZUO,"Zuora, Inc.",1.53B,9.98,-0.10%,452.76M
CMPO,"CompoSecure, Inc.",1.53B,15.94,-2.09%,419.61M
DAC,Danaos Corporation,1.53B,79.23,-0.75%,1.01B
LC,LendingClub Corporation,1.53B,13.49,-5.53%,1.16B
MLKN,"MillerKnoll, Inc.",1.53B,22.44,-1.58%,3.59B
SPNS,Sapiens International Corporation N.V.,1.53B,27.36,2.93%,538.93M
SHCO,Soho House & Co Inc.,1.53B,7.87,-1.38%,1.20B
SASR,"Sandy Spring Bancorp, Inc.",1.53B,33.83,0.65%,392.25M
EVEX,"Eve Holding, Inc.",1.53B,5.13,-3.02%,-
JBGS,JBG SMITH Properties,1.53B,15.51,0.85%,567.03M
XHR,"Xenia Hotels & Resorts, Inc.",1.52B,14.96,-0.73%,1.03B
CLMT,"Calumet, Inc.",1.52B,17.71,5.67%,4.22B
GLPG,Galapagos NV,1.52B,23.00,-0.04%,290.09M
STEL,"Stellar Bancorp, Inc.",1.52B,28.40,-0.98%,433.92M
MXL,"MaxLinear, Inc.",1.51B,17.86,2.23%,360.53M
DSGR,"Distribution Solutions Group, Inc.",1.51B,32.25,-2.21%,1.73B
STBA,"S&T Bancorp, Inc.",1.51B,39.44,2.76%,383.76M
FTRE,Fortrea Holdings Inc.,1.51B,16.81,0.36%,2.98B
GSBD,"Goldman Sachs BDC, Inc.",1.51B,12.84,0.94%,445.94M
BV,"BrightView Holdings, Inc.",1.50B,15.76,-1.81%,2.77B
KOS,Kosmos Energy Ltd.,1.50B,3.180,-2.15%,1.79B
NRIX,"Nurix Therapeutics, Inc.",1.50B,19.71,-1.52%,54.55M
WTTR,"Select Water Solutions, Inc.",1.49B,12.50,-3.47%,1.48B
UTI,"Universal Technical Institute, Inc.",1.49B,27.43,-1.12%,732.69M
PLYA,Playa Hotels & Resorts N.V.,1.49B,12.26,-1.84%,949.67M
DMLP,"Dorchester Minerals, L.P.",1.49B,31.42,-1.32%,166.45M
RLJ,RLJ Lodging Trust,1.49B,9.75,-1.22%,1.36B
ARIS,"Aris Water Solutions, Inc.",1.49B,25.53,-8.00%,420.96M
XPRO,Expro Group Holdings N.V.,1.48B,12.63,-1.41%,1.68B
HLIO,"Helios Technologies, Inc.",1.48B,44.61,-0.11%,819.80M
INDV,Indivior PLC,1.48B,11.90,-2.46%,1.18B
MMI,"Marcus & Millichap, Inc.",1.48B,38.16,-0.05%,622.23M
AAPG,Ascentage Pharma Group International,1.48B,17.68,0.45%,124.27M
WS,"Worthington Steel, Inc.",1.47B,29.05,-3.81%,3.29B
PRAX,"Praxis Precision Medicines, Inc.",1.47B,76.55,0.46%,1.61M
ROOT,"Root, Inc.",1.47B,97.50,-0.15%,1.04B
KSS,Kohl's Corporation,1.47B,13.21,-1.64%,16.78B
KRP,"Kimbell Royalty Partners, LP",1.47B,15.39,-1.41%,325.01M
TASK,"TaskUs, Inc.",1.47B,16.45,-2.78%,955.01M
FSLY,"Fastly, Inc.",1.47B,10.47,-2.42%,540.87M
ADNT,Adient plc,1.46B,17.43,-4.55%,14.52B
TUYA,Tuya Inc.,1.46B,2.480,-1.59%,280.97M
FDP,Fresh Del Monte Produce Inc.,1.46B,30.49,-1.90%,4.28B
VBTX,"Veritex Holdings, Inc.",1.46B,26.80,-0.04%,405.54M
LNN,Lindsay Corporation,1.46B,134.19,-1.48%,612.00M
AFYA,Afya Limited,1.46B,16.15,-4.10%,584.95M
INMD,InMode Ltd.,1.46B,17.21,-0.35%,423.75M
PLAB,"Photronics, Inc.",1.46B,22.99,-0.30%,866.95M
MLNK,"MeridianLink, Inc.",1.45B,19.25,-2.73%,311.44M
CSTM,Constellium SE,1.45B,9.93,0.40%,7.56B
ATSG,"Air Transport Services Group, Inc.",1.45B,22.22,-0.22%,1.96B
TGI,"Triumph Group, Inc.",1.45B,18.74,-1.37%,1.21B
TCBK,TriCo Bancshares,1.45B,43.87,-0.48%,389.19M
ATEN,"A10 Networks, Inc.",1.45B,19.61,-1.31%,257.91M
DYN,"Dyne Therapeutics, Inc.",1.45B,14.22,0.57%,-
CBRL,"Cracker Barrel Old Country Store, Inc.",1.45B,64.98,0.42%,3.49B
MODG,Topgolf Callaway Brands Corp.,1.44B,7.86,-3.68%,4.21B
GRDN,"Guardian Pharmacy Services, Inc.",1.44B,22.81,0.53%,1.17B
TILE,"Interface, Inc.",1.44B,24.76,-1.43%,1.31B
VECO,Veeco Instruments Inc.,1.44B,25.38,-0.35%,709.09M
TNK,Teekay Tankers Ltd.,1.44B,41.92,-1.11%,1.19B
ENFN,"Enfusion, Inc.",1.44B,11.16,0.27%,195.16M
VIR,"Vir Biotechnology, Inc.",1.43B,10.40,0.87%,78.62M
LADR,Ladder Capital Corp,1.43B,11.21,-0.53%,257.01M
VET,Vermilion Energy Inc.,1.43B,9.22,-2.95%,1.34B
KLG,WK Kellogg Co,1.43B,16.59,-2.41%,2.72B
KARO,Karooooo Ltd.,1.43B,46.16,-1.81%,245.97M
SCL,Stepan Company,1.43B,63.39,-1.49%,2.19B
AHCO,AdaptHealth Corp.,1.42B,10.82,1.03%,3.26B
UMH,"UMH Properties, Inc.",1.42B,17.99,0.06%,235.20M
LEG,"Leggett & Platt, Incorporated",1.42B,10.56,-3.47%,4.44B
KNSA,"Kiniksa Pharmaceuticals International, plc",1.42B,19.60,-1.41%,384.10M
NNE,NANO Nuclear Energy Inc.,1.41B,38.62,-3.47%,-
SFL,SFL Corporation Ltd.,1.41B,10.55,-1.77%,876.07M
LOMA,Loma Negra Compañía Industrial Argentina Sociedad Anónima,1.41B,12.10,-2.42%,265.54M
HELE,Helen of Troy Limited,1.41B,61.78,-2.85%,1.91B
FORTY,Formula Systems (1985) Ltd.,1.41B,91.27,0.30%,2.71B
HOPE,"Hope Bancorp, Inc.",1.41B,11.66,-0.85%,457.65M
NAVI,Navient Corporation,1.41B,13.67,-0.73%,848.00M
EXOD,"Exodus Movement, Inc.",1.41B,49.88,-18.74%,89.94M
ADEA,Adeia Inc.,1.40B,13.09,-3.75%,343.72M
VRTS,"Virtus Investment Partners, Inc.",1.40B,199.50,-4.53%,906.95M
CMRE,Costamare Inc.,1.40B,11.66,-1.27%,2.03B
NVAX,"Novavax, Inc.",1.39B,8.69,-3.55%,885.19M
DSP,Viant Technology Inc.,1.39B,22.13,0.50%,263.59M
BLX,"Banco Latinoamericano de Comercio Exterior, S. A.",1.39B,37.78,-0.11%,279.78M
ERO,Ero Copper Corp.,1.39B,13.40,-2.05%,464.13M
AIV,Apartment Investment and Management Company,1.38B,9.04,-0.77%,204.74M
NRP,Natural Resource Partners L.P.,1.38B,106.00,0.51%,256.67M
WT,"WisdomTree, Inc.",1.38B,9.79,-0.31%,427.74M
WABC,Westamerica Bancorporation,1.38B,51.76,-0.04%,293.25M
BUSE,First Busey Corporation,1.38B,24.28,-0.49%,453.70M
KRNT,Kornit Digital Ltd.,1.38B,29.04,-2.29%,199.71M
AAOI,"Applied Optoelectronics, Inc.",1.38B,27.92,-0.53%,209.55M
ANDE,"The Andersons, Inc.",1.38B,40.75,-2.23%,11.35B
NYAX,Nayax Ltd.,1.38B,38.78,-0.05%,291.65M
AGL,"agilon health, inc.",1.38B,3.340,-6.96%,5.59B
FLNG,FLEX LNG Ltd.,1.38B,25.51,-1.39%,362.65M
WINA,Winmark Corporation,1.37B,389.59,-0.87%,81.78M
FUBO,fuboTV Inc.,1.37B,4.040,-1.94%,1.59B
GIII,"G-III Apparel Group, Ltd.",1.37B,31.22,-5.05%,3.11B
SILA,"Sila Realty Trust, Inc.",1.37B,24.86,1.84%,186.23M
BHLB,"Berkshire Hills Bancorp, Inc.",1.37B,29.41,0.96%,376.00M
RXST,"RxSight, Inc.",1.37B,33.87,3.07%,128.29M
SPH,"Suburban Propane Partners, L.P.",1.36B,21.13,-0.52%,1.33B
DCOM,"Dime Community Bancshares, Inc.",1.36B,31.23,1.26%,277.99M
WGO,"Winnebago Industries, Inc.",1.36B,47.80,-1.22%,2.84B
CET,Central Securities Corporation,1.35B,47.66,-0.04%,23.37M
SYRE,"Spyre Therapeutics, Inc.",1.35B,22.99,3.23%,-
LEU,Centrus Energy Corp.,1.35B,82.30,-3.61%,394.00M
NSSC,"Napco Security Technologies, Inc.",1.35B,36.70,-1.34%,191.15M
ELME,Elme Communities,1.34B,15.26,0.13%,239.52M
AMC,"AMC Entertainment Holdings, Inc.",1.34B,3.110,-0.96%,4.44B
DEA,"Easterly Government Properties, Inc.",1.34B,11.36,0.26%,302.12M
USPH,"U.S. Physical Therapy, Inc.",1.34B,88.71,-0.35%,639.06M
QUBT,Quantum Computing Inc.,1.34B,10.38,3.80%,386.00K
CCB,Coastal Financial Corporation,1.33B,89.18,-0.83%,284.12M
QNST,"QuinStreet, Inc.",1.33B,23.66,-3.19%,768.81M
UNIT,Uniti Group Inc.,1.33B,5.45,-0.73%,1.16B
CGAU,Centerra Gold Inc.,1.33B,6.24,-1.27%,1.25B
SMWB,Similarweb Ltd.,1.32B,16.21,-4.70%,241.08M
TWO,Two Harbors Investment Corp.,1.32B,12.75,1.51%,593.49M
TIGR,UP Fintech Holding Limited,1.32B,7.05,-3.42%,277.35M
OXM,"Oxford Industries, Inc.",1.32B,83.86,-2.82%,1.53B
OCSL,Oaktree Specialty Lending Corporation,1.32B,16.00,1.01%,381.67M
HLIT,Harmonic Inc.,1.31B,11.28,-0.62%,623.65M
MFIC,MidCap Financial Investment Corporation,1.31B,14.00,0.21%,291.58M
QCRH,"QCR Holdings, Inc.",1.31B,77.76,-0.47%,330.22M
SEZL,Sezzle Inc.,1.31B,234.01,0.15%,221.81M
UVV,Universal Corporation,1.31B,53.12,-0.75%,2.83B
SCS,Steelcase Inc.,1.31B,11.48,-1.37%,3.15B
BY,"Byline Bancorp, Inc.",1.30B,29.34,-0.71%,379.86M
LX,LexinFintech Holdings Ltd.,1.30B,7.90,-5.05%,2.00B
RES,"RPC, Inc.",1.30B,6.13,-0.65%,1.41B
AORT,"Artivion, Inc.",1.30B,30.96,-1.31%,384.90M
ATUS,"Altice USA, Inc.",1.30B,2.810,-1.75%,9.02B
ALEX,"Alexander & Baldwin, Inc.",1.30B,17.85,0.45%,230.95M
DOLE,Dole plc,1.29B,13.62,-0.95%,8.38B
SABR,Sabre Corporation,1.29B,3.350,-1.18%,3.00B
PZZA,"Papa John's International, Inc.",1.29B,39.57,1.25%,2.10B
GEL,"Genesis Energy, L.P.",1.29B,10.52,-3.00%,3.01B
PLSE,"Pulse Biosciences, Inc.",1.29B,20.93,6.46%,-
ACMR,"ACM Research, Inc.",1.29B,20.55,0.05%,728.97M
HCI,"HCI Group, Inc.",1.28B,121.93,-0.34%,750.85M
NMM,Navios Maritime Partners L.P.,1.28B,42.17,0.26%,1.33B
TBLA,Taboola.com Ltd.,1.28B,3.810,-0.78%,1.69B
WLFC,Willis Lease Finance Corporation,1.28B,193.92,0.69%,520.43M
XNCR,"Xencor, Inc.",1.28B,18.28,-1.19%,85.16M
MDXG,"MiMedx Group, Inc.",1.28B,8.70,-2.36%,342.80M
RBCAA,"Republic Bancorp, Inc.",1.27B,65.45,-0.03%,330.43M
FWRG,"First Watch Restaurant Group, Inc.",1.27B,20.98,-1.08%,997.25M
DCBO,Docebo Inc.,1.27B,41.95,-2.08%,209.17M
ARDX,"Ardelyx, Inc.",1.27B,5.36,-,251.85M
HTZ,"Hertz Global Holdings, Inc.",1.27B,4.130,-2.36%,9.19B
BLFS,"BioLife Solutions, Inc.",1.27B,27.31,-1.43%,146.96M
SPRY,"ARS Pharmaceuticals, Inc.",1.27B,13.02,-8.89%,2.57M
NMFC,New Mountain Finance Corporation,1.26B,11.72,1.21%,373.51M
TPC,Tutor Perini Corporation,1.26B,24.09,-2.11%,4.28B
IMKTA,"Ingles Markets, Incorporated",1.26B,66.22,-1.18%,5.64B
IMKT.A,"Ingles Markets, Incorporated",1.26B,66.22,-1.18%,5.64B
MRTN,"Marten Transport, Ltd.",1.25B,15.40,-0.65%,963.71M
BMBL,Bumble Inc.,1.25B,8.11,-3.57%,1.08B
MRC,MRC Global Inc.,1.25B,14.68,-3.04%,3.20B
EOSE,"Eos Energy Enterprises, Inc.",1.25B,5.74,-1.20%,14.96M
CDNA,"CareDx, Inc",1.25B,23.30,1.39%,312.78M
BFS,"Saul Centers, Inc.",1.25B,36.52,-0.68%,267.61M
DAWN,"Day One Biopharmaceuticals, Inc.",1.25B,12.37,-3.81%,101.95M
MRVI,"Maravai LifeSciences Holdings, Inc.",1.24B,4.930,-2.38%,276.92M
CRAI,"CRA International, Inc.",1.24B,183.58,-1.98%,672.59M
SDHC,Smith Douglas Homes Corp.,1.24B,24.26,-3.27%,905.30M
KW,"Kennedy-Wilson Holdings, Inc.",1.24B,9.05,-1.20%,483.20M
INR,"Infinity Natural Resources, Inc.",1.24B,21.07,5.35%,261.67M
IMAX,IMAX Corporation,1.24B,23.55,-0.13%,345.55M
CNNE,"Cannae Holdings, Inc.",1.24B,19.76,-0.15%,461.90M
MOMO,Hello Group Inc.,1.24B,7.19,-3.62%,1.56B
VTEX,VTEX,1.24B,6.67,-1.48%,225.91M
VSAT,"Viasat, Inc.",1.24B,9.62,4.11%,4.53B
KBDC,"Kayne Anderson BDC, Inc.",1.23B,17.30,1.29%,-
GABC,"German American Bancorp, Inc.",1.23B,41.33,-0.31%,250.48M
