Symbol,Company Name,Market Cap,Stock Price,Percent Change,Revenue
TZOO,Travelzoo,234.08M,19.83,0.35%,84.37M
FHTX,Foghorn Therapeutics Inc.,232.94M,4.190,-3.46%,25.52M
SOPH,SOPHiA GENETICS SA,232.54M,3.500,-2.51%,64.49M
FBLA,"FB Bancorp, Inc.",231.90M,11.69,-0.43%,79.36M
CLBR,Colombier Acquisition Corp. II,231.63M,10.90,-0.18%,-
MAPS,"WM Technology, Inc.",231.21M,1.380,-0.72%,183.31M
IVA,Inventiva S.A.,231.18M,2.426,-2.00%,20.65M
NC,"NACCO Industries, Inc.",230.80M,31.63,-1.25%,224.05M
RAIL,"FreightCar America, Inc.",230.70M,12.21,0.83%,548.33M
AEYE,"AudioEye, Inc.",230.65M,18.94,-1.81%,33.35M
ATNI,"ATN International, Inc.",230.61M,15.55,-0.19%,747.49M
OZ,"Belpointe PREP, LLC",230.45M,61.50,-1.60%,2.09M
OACC,Oaktree Acquisition Corp. III Life Sciences,230.23M,10.18,-0.10%,-
PWOD,"Penns Woods Bancorp, Inc.",229.90M,30.43,-0.23%,68.38M
WTI,"W&T Offshore, Inc.",229.88M,1.560,-3.11%,537.26M
DRUG,Bright Minds Biosciences Inc.,229.81M,34.00,4.97%,-
PLMK,Plum Acquisition Corp. IV,228.53M,10.04,0.10%,-
HWBK,"Hawthorn Bancshares, Inc.",228.47M,32.70,-,71.88M
AEVA,"Aeva Technologies, Inc.",228.46M,4.240,4.69%,7.98M
FXNC,First National Corporation,227.85M,25.40,0.95%,48.80M
ARL,"American Realty Investors, Inc.",227.10M,14.06,-3.17%,51.03M
WILC,G. Willi-Food International Ltd.,227.00M,16.37,0.61%,154.48M
ONL,Orion Office REIT Inc.,226.59M,4.050,-0.25%,169.64M
RITR,Reitar Logtech Holdings Limited,226.05M,3.620,3.43%,47.95M
GENC,"Gencor Industries, Inc.",225.58M,15.39,-3.39%,113.12M
INMB,"INmune Bio, Inc.",225.27M,10.16,10.20%,42.00K
GOSS,"Gossamer Bio, Inc.",225.15M,0.994,3.10%,105.32M
TLS,Telos Corporation,225.10M,3.110,-4.01%,122.96M
LUNG,Pulmonx Corporation,224.29M,5.68,-0.18%,79.30M
