Symbol,Company Name,Market Cap,Stock Price,Percent Change,Revenue
SMR,NuScale Power Corporation,6.09B,23.84,1.10%,7.38M
AMKR,"Amkor Technology, Inc.",6.07B,24.61,-1.05%,6.44B
W,Wayfair Inc.,6.06B,48.37,-3.45%,11.84B
CIG,Companhia Energética de Minas Gerais - CEMIG,6.04B,1.870,0.54%,7.09B
CIG.C,Companhia Energética de Minas Gerais - CEMIG,6.04B,2.629,3.70%,7.09B
ANF,Abercrombie & Fitch Co.,6.01B,119.38,-2.71%,4.82B
FSS,Federal Signal Corporation,6.01B,98.31,-0.64%,1.84B
MC,Moelis & Company,6.00B,78.29,0.67%,970.70M
HOMB,"Home Bancshares, Inc. (Conway, AR)",6.00B,30.19,-0.33%,969.28M
LTH,"Life Time Group Holdings, Inc.",6.00B,28.99,-2.52%,2.52B
HR,Healthcare Realty Trust Incorporated,6.00B,16.75,-0.42%,1.29B
LNC,Lincoln National Corporation,5.99B,35.16,-0.57%,13.55B
RITM,Rithm Capital Corp.,5.98B,11.51,-0.43%,3.01B
TEO,Telecom Argentina S.A.,5.98B,12.20,-5.21%,1.78B
DAR,Darling Ingredients Inc.,5.96B,37.46,2.21%,5.91B
CRVL,CorVel Corporation,5.95B,115.85,0.18%,845.64M
CROX,"Crocs, Inc.",5.95B,102.07,-4.62%,4.07B
ELAN,Elanco Animal Health Incorporated,5.95B,12.03,-3.53%,4.45B
GPI,"Group 1 Automotive, Inc.",5.93B,456.49,-1.18%,19.93B
LFUS,"Littelfuse, Inc.",5.91B,238.36,-1.97%,2.19B
UPST,"Upstart Holdings, Inc.",5.91B,64.75,-3.83%,604.94M
GNTX,Gentex Corporation,5.90B,25.92,-8.15%,2.31B
TX,Ternium S.A.,5.89B,30.00,-1.12%,18.70B
GATX,GATX Corporation,5.88B,165.47,-0.76%,1.59B
SLGN,Silgan Holdings Inc.,5.88B,55.02,-2.01%,5.85B
SLM,SLM Corporation,5.87B,27.91,-2.82%,1.44B
CELH,"Celsius Holdings, Inc.",5.87B,24.98,-3.10%,1.37B
ASTS,"AST SpaceMobile, Inc.",5.86B,20.24,11.15%,2.50M
KNF,Knife River Corporation,5.86B,103.58,-2.28%,2.89B
IDA,"IDACORP, Inc.",5.86B,109.94,0.01%,1.84B
COLB,"Columbia Banking System, Inc.",5.85B,27.90,-0.46%,1.82B
LITE,Lumentum Holdings Inc.,5.84B,85.06,1.29%,1.38B
CYTK,"Cytokinetics, Incorporated",5.84B,49.46,-1.02%,3.22M
